张家界,"110.482434,29.111799",5.0,天门山国家森林公园,湖南
张家界,"110.442167,29.282828",5.0,张家界国家森林公园,湖南
衡阳,"112.864018,27.225530",5.0,衡山,湖南
长沙,"112.937353,28.182849",5.0,岳麓山,湖南
岳阳,"113.129702,29.371903",5.0,岳阳楼—君山岛景区,湖南
郴州,"112.737063,25.738464",5.0,东江湖,湖南
湘潭,"112.470614,27.917757",5.0,韶山滴水洞,湖南
张家界,"110.119936,29.324424",5.0,张家界九天洞,湖南
长沙,"112.622058,28.046209",5.0,花明楼景区,湖南
湘潭,"112.493619,27.913234",5.0,韶山旅游区,湖南
邵阳,"0,0",5.0,莨山,湖南
武汉,"114.267135,30.588888",5.0,黄鹤楼,湖北
十堰,"111.010920,32.397456",5.0,武当山,湖北
武汉,"114.271804,30.675250",5.0,木兰草原,湖北
武汉,"114.272259,31.176086",5.0,木兰天池,湖北
宜昌,"111.324071,30.768021",5.0,三峡人家,湖北
恩施,"109.184729,30.473619",5.0,恩施大峡谷,湖北
宜昌,"111.137850,30.461571",5.0,清江画廊,湖北
武汉,"114.365703,30.527437",5.0,武汉东湖磨山,湖北
宜昌,"111.027621,30.812542",5.0,三峡大坝旅游区,湖北
武汉,"114.201968,31.100771",5.0,云雾山,湖北
咸宁,"113.630765,29.878772",5.0,三国赤壁古战场,湖北
神农架,"110.570137,31.351348",5.0,神农架,湖北
宜昌,"110.823949,31.080473",5.0,屈原故里,湖北
神农架,"110.350050,31.505490",5.0,神农顶景区,湖北
神农架,"110.570137,31.351348",5.0,神农架国际生态旅游区,湖北
恩施,"110.340756,31.042324",5.0,巴东神农溪,湖北
恩施,"110.298712,31.224774",5.0,神农溪景区,湖北
武汉,"114.380163,30.572776",5.0,听涛景区,湖北
神农架,"110.570137,31.351348",5.0,神农架高山平原,湖北
广州,"113.330424,22.999298",5.0,长隆欢乐世界,广东
深圳,"113.980847,22.541575",5.0,深圳欢乐谷,广东
广州,"113.315337,23.001985",5.0,长隆野生动物世界,广东
深圳,"113.975633,22.536876",5.0,世界之窗,广东
广州,"113.336770,23.000694",5.0,广州长隆旅游度假区,广东
深圳,"113.986481,22.530910",5.0,锦绣中华民俗村,广东
广州,"113.324387,23.001670",5.0,长隆水上乐园,广东
惠州,"114.067685,23.261218",5.0,罗浮山,广东
佛山,"113.287579,22.876889",5.0,长鹿休闲度假农庄,广东
深圳,"113.992754,22.537859",5.0,华侨城,广东
韶关,"113.733463,25.027346",5.0,韶关丹霞山,广东
广州,"113.296490,23.064786",5.0,白云山,广东
清远,"112.329989,25.001863",5.0,连州地下河,广东
阳江,"111.853415,21.571111",5.0,大角湾,广东
梅州,"116.375680,24.380042",5.0,雁南飞茶田景区,广东
佛山,"112.986843,22.936059",5.0,西樵山,广东
梅州,"0,0",5.0,八乡山大峡谷,广东
中山,"113.529106,22.442491",5.0,孙中山故居纪念馆,广东
阳江,"111.853415,21.571111",5.0,海陵岛大角湾海上丝路旅游区,广东
惠州,"114.216788,23.045379",5.0,惠州西湖,广东
深圳,"113.876880,22.780712",5.0,观澜湖,广东
南宁,"108.370380,22.793608",5.0,青秀山旅游区,广西
崇左,"106.728430,22.853146",5.0,德天跨国瀑布,广西
桂林,"110.297131,25.268656",5.0,象鼻山,广西
桂林,"110.022831,25.204726",5.0,桂林两江四湖景区,广西
桂林,"110.676800,25.580154",5.0,桂林乐满地主题乐园,广西
桂林,"110.500359,24.772084",5.0,漓江,广西
桂林,"110.299161,25.281651",5.0,独秀峰王城景区,广西
桂林,"110.303804,25.282677",5.0,叠彩伏波景区,广西
桂林,"110.500359,24.772084",5.0,漓江【风光号】四星高端游船,广西
桂林,"110.500359,24.772084",5.0,漓江【盛景号】游轮,广西
郑州,"113.016926,34.468231",5.0,少林寺,河南
洛阳,"112.475441,34.549160",5.0,龙门石窟,河南
开封,"114.341092,34.808158",5.0,清明上河园,河南
焦作,"113.411250,35.364736",5.0,云台山,河南
洛阳,"111.649852,33.718614",5.0,老君山,河南
洛阳,"112.003351,34.965837",5.0,龙潭大峡谷,河南
焦作,"112.816844,35.212429",5.0,神农山,河南
焦作,"113.010490,35.341152",5.0,青天河,河南
郑州,"113.004052,34.519664",5.0,嵩山,河南
洛阳,"111.571280,33.783673",5.0,鸡冠洞,河南
平顶山,"112.336440,33.706079",5.0,尧山,河南
